Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,25.04718454260575,25.04718454260575,24.922571684184827,25.029382705688477,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,25.047169580297954,25.207386016845703,25.047169580297954,25.207386016845703,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,25.189582570662708,25.278591696354095,25.136177095247874,25.26078987121582,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,25.29639872014938,25.545624323303564,25.278596891352652,25.527822494506836,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,25.616820752620697,25.688028037548065,25.331991612911224,25.63462257385254,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,25.6168384552002,25.670243955801727,25.474423786929453,25.616838455200195,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,25.6168384552002,25.705847622869413,25.581234788132512,25.616838455200195,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,25.52782713807989,25.52782713807989,25.385412481800504,25.438817977905273,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,25.43880545684793,25.492210926666367,25.367598163756686,25.474409103393555,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,25.510018497249515,25.70583859736797,25.510018497249515,25.599027633666992,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,25.563433822920544,25.563433822920544,25.403217315673828,25.403217315673828,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,25.33200289344376,25.33200289344376,24.7267407020333,24.762344360351562,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,24.762341087670634,24.797944741283388,24.65553012683237,24.744539260864258,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,25.029376761187226,25.029376761187226,24.388510784371622,24.72674560546875,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,24.726748577320425,24.815757751464844,24.691144907662654,24.815757751464844,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.88694900065511,24.9403544706136,24.81574170737713,24.90475082397461,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.97597588524116,24.993777721224937,24.76235385343582,24.886966705322266,373700,0.0,0.0,0.0
1993-02-24 00:00:00-05:00,24.904754970033288,25.207386016845703,24.904754970033288,25.207386016845703,26300,0.0,0.0,0.0
1993-02-25 00:00:00-05:00,25.189582570662708,25.278591696354095,25.136177095247874,25.26078987121582,44500,0.0,0.0,0.0
1993-02-26 00:00:00-05:00,25.31419999124633,25.31419999124633,25.171785364010063,25.296398162841797,66200,0.0,0.0,0.0
1993-03-01 00:00:00-05:00,25.385399895818114,25.385399895818114,25.18957984052078,25.225183486938477,66500,0.0,0.0,0.0
1993-03-02 00:00:00-05:00,25.242991087997076,25.599027633666992,25.207387433430085,25.599027633666992,182400,0.0,0.0,0.0
1993-03-03 00:00:00-05:00,25.63463565055023,25.723644802114638,25.599031989924466,25.705842971801758,280100,0.0,0.0,0.0
1993-03-04 00:00:00-05:00,25.7414471857395,25.7414471857395,25.563428878784176,25.56342887878418,89500,0.0,0.0,0.0
1993-03-05 00:00:00-05:00,25.59902515624489,25.705836109608914,25.474412377320192,25.49221420288086,40000,0.0,0.0,0.0
1993-03-08 00:00:00-05:00,25.54562141335076,26.061874389648438,25.54562141335076,26.061874389648438,50800,0.0,0.0,0.0
1993-03-09 00:00:00-05:00,26.00846207313459,26.026263895224346,25.919452962685806,25.972858428955078,169300,0.0,0.0,0.0
1993-03-10 00:00:00-05:00,25.97288727532007,26.02629280090332,25.866076224153574,26.02629280090332,194400,0.0,0.0,0.0
1993-03-11 00:00:00-05:00,26.044075825904457,26.11528314190146,25.9194630229097,25.955066680908203,70900,0.0,0.0,0.0
1993-03-12 00:00:00-05:00,25.741441445142463,25.759243271868012,25.527819524435888,25.68803596496582,643600,0.0,0.0,0.0
1993-03-15 00:00:00-05:00,25.6702284687963,25.812643051147457,25.6702284687963,25.81264305114746,310800,0.0,0.0,0.0
1993-03-16 00:00:00-05:00,25.812643051147457,25.883850342323036,25.812643051147457,25.81264305114746,30800,0.0,0.0,0.0
1993-03-17 00:00:00-05:00,25.777038521273614,25.777038521273614,25.616822121624814,25.65242576599121,21800,0.0,0.0,0.0
1993-03-18 00:00:00-05:00,25.759237582765774,25.919453987910828,25.759237582765774,25.81264305114746,59300,0.0,0.0,0.0
1993-03-19 00:00:00-05:00,25.916663907783715,25.916663907783715,25.773576736450195,25.773576736450195,66900,0.213,0.0,0.0
1993-03-22 00:00:00-05:00,25.523183468581077,25.684156594872057,25.505297565659856,25.6304988861084,183400,0.0,0.0,0.0
